2021-03-02 20:00:12, {'time': '20:00:10', 0: 86.299, 1: -1809.4, 2: 66.274}
2021-03-02 20:00:27, {'time': '20:00:25', 0: 86.299, 1: -1809.4, 2: 66.276}
2021-03-11 19:13:44, {'time': '19:13:42', 0: 83.777, 1: -1809.4, 2: 66.499}
2021-03-11 19:13:59, {'time': '19:13:57', 0: 83.766, 1: -1809.4, 2: 66.497}
2021-03-11 19:14:14, {'time': '19:14:12', 0: 83.768, 1: -1809.4, 2: 66.501}
2021-03-11 19:14:29, {'time': '19:14:27', 0: 83.775, 1: -1809.4, 2: 66.502}
2021-03-11 19:14:44, {'time': '19:14:42', 0: 83.781, 1: -1809.4, 2: 66.506}
2021-03-11 19:14:59, {'time': '19:14:57', 0: 83.781, 1: -1809.4, 2: 66.508}
2021-03-11 19:15:14, {'time': '19:15:12', 0: 83.777, 1: -1809.4, 2: 66.513}
2021-03-11 19:15:29, {'time': '19:15:27', 0: 83.763, 1: -1809.4, 2: 66.511}
2021-03-11 19:19:01, {'time': '19:18:59', 0: 83.748, 1: -1809.4, 2: 66.51}
2021-03-11 19:19:16, {'time': '19:19:14', 0: 83.725, 1: -1809.4, 2: 66.504}
2021-03-11 19:19:31, {'time': '19:19:29', 0: 83.73, 1: -1809.4, 2: 66.506}
2021-03-11 19:19:46, {'time': '19:19:44', 0: 83.727, 1: -1809.4, 2: 66.504}
2021-03-11 19:20:01, {'time': '19:19:59', 0: 83.73, 1: -1809.4, 2: 66.511}
2021-03-11 19:20:16, {'time': '19:20:14', 0: 83.728, 1: -1809.4, 2: 66.515}
2021-03-11 19:20:31, {'time': '19:20:29', 0: 83.721, 1: -1809.4, 2: 66.517}
2021-03-11 19:20:46, {'time': '19:20:45', 0: 83.734, 1: -1809.4, 2: 66.517}
2021-03-11 19:21:01, {'time': '19:21:00', 0: 83.725, 1: -1809.4, 2: 66.519}
2021-03-11 19:21:16, {'time': '19:21:15', 0: 83.727, 1: -1809.4, 2: 66.517}
2021-03-11 19:21:31, {'time': '19:21:30', 0: 83.723, 1: -1809.4, 2: 66.52}
2021-03-11 19:21:46, {'time': '19:21:45', 0: 83.718, 1: -1809.4, 2: 66.52}
2021-03-11 19:22:01, {'time': '19:22:00', 0: 83.71, 1: -1809.4, 2: 66.524}
2021-03-11 19:22:16, {'time': '19:22:15', 0: 83.709, 1: -1809.4, 2: 66.528}
2021-03-11 19:22:31, {'time': '19:22:30', 0: 83.714, 1: -1809.4, 2: 66.533}
2021-03-11 19:22:46, {'time': '19:22:45', 0: 83.734, 1: -1809.4, 2: 66.531}
2021-03-11 19:23:01, {'time': '19:23:00', 0: 83.728, 1: -1809.4, 2: 66.533}
2021-03-11 19:23:16, {'time': '19:23:15', 0: 83.725, 1: -1809.4, 2: 66.537}
2021-03-11 19:23:31, {'time': '19:23:30', 0: 83.719, 1: -1809.4, 2: 66.537}
2021-03-11 19:23:46, {'time': '19:23:46', 0: 83.718, 1: -1809.4, 2: 66.538}
2021-03-11 19:24:01, {'time': '19:24:01', 0: 83.71, 1: -1809.4, 2: 66.537}
2021-03-11 19:24:16, {'time': '19:24:16', 0: 83.707, 1: -1809.4, 2: 66.538}
2021-03-11 19:24:31, {'time': '19:24:31', 0: 83.71, 1: -1809.4, 2: 66.538}
2021-03-11 19:24:46, {'time': '19:24:46', 0: 83.716, 1: -1809.4, 2: 66.537}
2021-03-11 19:25:01, {'time': '19:25:01', 0: 83.718, 1: -1809.4, 2: 66.538}
2021-03-11 19:25:16, {'time': '19:25:13', 0: 83.71, 1: -1809.4, 2: 66.538}
2021-03-11 19:25:31, {'time': '19:25:28', 0: 83.705, 1: -1809.4, 2: 66.54}
2021-03-11 19:25:46, {'time': '19:25:43', 0: 83.71, 1: -1809.4, 2: 66.538}
2021-03-11 19:26:01, {'time': '19:25:58', 0: 83.707, 1: -1809.4, 2: 66.538}
2021-03-11 19:26:16, {'time': '19:26:13', 0: 83.703, 1: -1809.4, 2: 66.54}
2021-03-11 19:26:31, {'time': '19:26:28', 0: 83.703, 1: -1809.4, 2: 66.537}
2021-03-11 19:26:46, {'time': '19:26:44', 0: 83.7, 1: -1809.4, 2: 66.538}
2021-03-11 19:27:01, {'time': '19:26:59', 0: 83.7, 1: -1809.4, 2: 66.54}
2021-03-11 19:27:16, {'time': '19:27:14', 0: 83.691, 1: -1809.4, 2: 66.54}
2021-03-11 19:27:31, {'time': '19:27:29', 0: 83.701, 1: -1809.4, 2: 66.54}
